store,url,title,price,compared price,compared to,buy
mastertools,http://mastertools.nl/products/makita-geleiderail-1500mm,Geleiderail 1500mm - 199141-8,"56,95",35,199141-8,no
mastertools,http://mastertools.nl/products/makita-199826-6-geleiderail-snelspan-klemset,199826-6 Geleiderail Snelspan klemset,"72,95",45,199826-6,no
mastertools,http://mastertools.nl/products/makita-dcl282fzb-accu-steelstofzuiger-18v-zwart-losse-body,DCL282FZB Accu Steelstofzuiger 18V Zwart Basic Body,"74,95",55,DCL282FZB,no
mastertools,http://mastertools.nl/products/makita-ld030p-laser-afstandsmeter,LD030P Laser afstandsmeter 30m,"82,95",55,LD030P,no
mastertools,http://mastertools.nl/products/makita-cp100dzj-12-v-max-mes-losse-body-in-mbox,CP100DZJ Accu Mes 12V Max Basic Body in Mbox,"89,95",45,CP100DZ,no
mastertools,http://mastertools.nl/products/makita-dbo480z-accu-handpalm-vlakschuurmachine-18v-basic-body,DBO480Z Accu Handpalm Vlakschuurmachine 18V Basic Body,"104,95",85,DBO480Z,no
mastertools,http://mastertools.nl/products/makita-dbo180z-excenter-schuurmachine-18v-losse-body,DBO180Z Accu Excenter Schuurmachine 18V Basic Body,"107,95",75,DBO180Z,no
mastertools,http://mastertools.nl/products/makita-dtd153z-accu-slagschroevendraaier-18v-li-ion-losse-body,DTD153Z Accu slagschroevendraaier 170Nm 18V Basic Body,"109,95",85,DTD153Z,no
mastertools,http://mastertools.nl/products/makita-ddf484z-accu-schroefboormachine-18v-losse-body,DDF484Z Accu Schroefboormachine 18V Basic Body,"110,95",85,DDF484Z,no
mastertools,http://mastertools.nl/products/makita-dbo481z-accu-handpalm-vlakschuurmachine-lxt-18v-basic-body,DBO481Z Accu Handpalm Vlakschuurmachine 18V Basic Body,"114,95",75,DBO481Z,no
mastertools,http://mastertools.nl/products/makita-dbo480zj-accu-handpalm-vlakschuurmachine-18v-basic-body-in-mbox,DBO480ZJ Accu Handpalm Vlakschuurmachine 18V Basic Body in Mbox,"129,95",115,DBO480ZJ,no
mastertools,http://mastertools.nl/products/makita-ddf484zj-accuboormachine-ddf484zj,DDF484ZJ Accu Schroefboormachine 18V Basic Body in Mbox,"138,95",95,DDF484ZJ,no
mastertools,http://mastertools.nl/products/makita-dbo180zj-excenter-schuurmachine,DBO180ZJ Accu Excenter Schuurmachine 18V Basic Body in Mbox,"140,95",105,DBO180ZJ,no
mastertools,http://mastertools.nl/products/makita-dga504z-accu-haakse-slijper-18v-basic-body,DGA504Z Accu Haakse Slijper 125mm 18V Basic Body,"143,95",100,DGA504Z,no
mastertools,http://mastertools.nl/products/makita-dga511z-accu-haakse-slijper-18v-basic-body,DGA511Z Accu Haakse Slijper 125mm 18V Basic Body,"158,95",110,DGA511Z,no
mastertools,http://mastertools.nl/products/makita-dga504zj-haakse-slijper,DGA504ZJ Accu Haakse Slijper 125mm 18V Basic Body in Mbox,"166,95",120,DGA504ZJ,no
mastertools,http://mastertools.nl/products/makita-dtd172z-accu-slagschroevendraaier-18v-basic-body,DTD172Z Accu slagschroevendraaier 180Nm 18V Basic Body,"170,95",135,DTD172Z,no
mastertools,http://mastertools.nl/products/makita-dga511zj-18-v-haakse-slijper-125-mm-losse-body-in-mbox,DGA511ZJ Accu Haakse Slijper 125mm 18V Basic Body in Mbox,"189,95",150,DGA511ZJ,no
mastertools,http://mastertools.nl/products/makita-dhp486z-accu-klop-schroefboormachine-18v-basic-body,DHP486Z Accu klop-/schroefboormachine 18V Basic Body,"199,95",160,DHP486Z,no
mastertools,http://mastertools.nl/products/makita-dtd172z-accu-slagschroevendraaier-18v-basic-body-in-mbox,DTD172ZJ Accu slagschroevendraaier 180Nm 18V Basic Body in Mbox,"202,95",165,DTD172ZJ,no
